iteration,alpha,lam,rms,timestamp
10000,0.12,0.945,4.462877362073255,10-02-2017 22:48:05
1000,0.12,0.945,4.462887057910322,10-02-2017 22:49:09
1000,0.12,0.945,4.462887057910322,10-02-2017 22:49:25
1000,0.22,0.945,4.462877386997236,10-02-2017 22:50:44
10000,0.22,0.945,4.462877362073255,10-02-2017 22:51:25
10000,0.22,0.945,4.462877362073255,10-02-2017 22:53:16
10000,0.22,0.945,4.463491529021617,10-02-2017 23:07:26
10000,0.22,0.945,4.463491529021617,10-02-2017 23:08:47
10000,0.22,0.945,4.462877437716824,10-02-2017 23:09:32
10000,0.22,0.945,4.462877362073485,10-02-2017 23:10:27
10000,0.22,0.945,4.46287736207341,10-02-2017 23:10:50
10000,0.22,0.945,4.46287736207341,10-02-2017 23:11:20
1917,0.22,0.945,4.46287736207341,10-02-2017 23:12:15
1773,0.22,0.0345,4.461480603680111,10-02-2017 23:12:52
1389,0.22,0.000345,4.461478647403474,10-02-2017 23:13:44
1215,0.22,3.45e-05,4.461478647209386,10-02-2017 23:14:01
1124,0.22,1.45e-07,4.461478647207351,10-02-2017 23:14:19
18453,0.012,1.45e-07,4.461478647209655,10-02-2017 23:15:04
18453,0.012,1.45e-07,4.461478647209655,10-02-2017 23:15:50
17130,0.012,1.45e-07,4.383895928818317,10-02-2017 23:16:43
17130,0.012,1.45e-07,4.383895928818317,10-02-2017 23:16:50
17130,0.012,1.45e-07,4.383895928818317,10-02-2017 23:18:09
17130,0.012,1.45e-07,4.383895928818317,10-02-2017 23:18:41
17130,0.012,1.45e-07,4.383895928818317,10-02-2017 23:19:23
17130,0.012,1.45e-07,4.383895928818317,10-02-2017 23:19:29
17130,0.012,1.45e-07,4.383895928818317,10-02-2017 23:24:20
17130,0.012,1.45e-07,4.383895928818317,10-02-2017 23:25:15
17130,0.012,1.45e-07,4.383895928818317,10-02-2017 23:25:58
17130,0.012,1.45e-07,4.383895928818317,10-02-2017 23:26:37
1,0.012,1.45e-07,23.32813545369785,10-02-2017 23:27:19
1,0.012,1.45e-07,23.32813545369785,10-02-2017 23:27:49
2154,0.012,1.45e-07,4.387876943536127,10-02-2017 23:28:01
33593,0.012,1.45e-07,4.383895928814198,10-02-2017 23:29:55
33593,0.012,1.45e-07,4.383895928814198,10-02-2017 23:30:29
17130,0.012,1.45e-07,4.383895928818317,10-02-2017 23:32:35
16583,0.012,1.45e-07,4.708434601997449,10-02-2017 23:36:54
99,0.012,1.45e-07,nan,11-02-2017 03:45:31
99,0.012,0.9,nan,11-02-2017 03:47:59
99,0.62,0.000145,nan,11-02-2017 03:48:38
99,0.62,0.000145,1.4542311369557107e+44,11-02-2017 03:49:33
9999,0.012,0.000145,4.70843463866385,11-02-2017 03:50:07
9999,0.012,0.000145,4.70843463866385,11-02-2017 03:50:43
9999,0.012,0.000145,4.70843463866385,11-02-2017 03:51:19
9999,0.012,0.000145,4.70843463866385,11-02-2017 03:51:32
17278,0.012,0.000145,4.708434602016719,11-02-2017 03:52:40
23091,0.012,0.0145,4.708434771579484,11-02-2017 03:53:21
23025,0.012,0.0145,4.708434771579959,11-02-2017 03:53:54
1503,0.22,0.0145,4.708434771574118,11-02-2017 03:55:01
1503,0.22,0.0145,4.708434771574118,11-02-2017 03:56:45
1029,0.22,1.45e-06,4.708434601995073,11-02-2017 03:56:59
16674,0.012,1.45e-06,4.708434601997677,11-02-2017 03:57:26
16596,0.012,1.45e-06,4.708434601997518,11-02-2017 03:57:47
32788,0.012,1.45e-06,4.70843460199497,11-02-2017 03:58:36
16596,0.012,1.45e-06,4.708434601997518,11-02-2017 03:59:24
16596,0.012,1.45e-06,4.708434601997518,11-02-2017 03:59:43
16596,0.012,1.45e-06,4.708434601997518,11-02-2017 04:00:07
16315,0.012,1.45e-06,4.473842938827899,14-02-2017 23:18:53
1726,0.212,0.301,4.473935918164795,14-02-2017 23:19:19
1726,0.212,0.301,4.473935918164795,14-02-2017 23:19:28
1726,0.212,0.301,4.473935918164795,14-02-2017 23:22:58
1782,0.212,0.501,4.474098941402462,14-02-2017 23:27:21
1782,0.212,0.501,4.474098941402462,14-02-2017 23:27:49
1758,0.212,0.401,4.474007449220734,14-02-2017 23:29:14
1758,0.212,0.401,4.474007449220734,14-02-2017 23:29:15
1758,0.212,0.401,4.474007449220734,14-02-2017 23:29:19
2,0.512,0.301,10.053977894006078,14-02-2017 23:30:32
2,0.512,0.301,10.053977894006078,14-02-2017 23:30:33
9999,0.512,0.301,nan,14-02-2017 23:31:45
9999,0.512,0.301,nan,14-02-2017 23:32:49
9999,0.512,0.301,nan,14-02-2017 23:33:32
9999,0.212,0.301,4.473935918164529,14-02-2017 23:34:00
9999,0.212,0.301,4.473935918164529,14-02-2017 23:34:43
1726,0.212,0.301,4.473935918164795,14-02-2017 23:34:55
1741,0.212,0.301,4.473935918164747,14-02-2017 23:35:11
1712,0.212,0.301,4.473935918164847,14-02-2017 23:35:45
1738,0.212,0.301,4.473935918164752,14-02-2017 23:36:32
1738,0.212,0.301,4.473935918164752,14-02-2017 23:37:22
1738,0.212,0.301,4.473935918164752,14-02-2017 23:39:31
1867,0.212,0.301,4.384006193189989,14-02-2017 23:39:34
1700,0.212,0.301,4.65395825309693,14-02-2017 23:40:37
1762,0.212,0.301,4.708507012545712,14-02-2017 23:41:56
1659,0.212,0.301,8.877251386222248,14-02-2017 23:44:47
2100,0.212,0.301,8.958099894566137,14-02-2017 23:45:00
1304,0.212,0.301,8.951275574143901,14-02-2017 23:45:05
1304,0.212,0.301,8.951275574143901,14-02-2017 23:45:18
1304,0.212,0.301,8.951275574143901,14-02-2017 23:45:32
1208,0.212,0.301,9.026195877739225,14-02-2017 23:45:37
1738,0.212,0.301,4.473935918164752,14-02-2017 23:45:58
1867,0.212,0.301,4.384006193189989,15-02-2017 00:00:43
1855,0.212,0.301,4.3826727608431835,15-02-2017 00:01:15
1738,2,0.212,0.301,4.473935918164752,15-02-2017 02:09:27
